Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2022,Accountancy Board,General,Accountancy,Accountancy,652731.74,0,652731.74,0,657882.93,5151.19
2022,Accountancy Board,Payroll Clearing,-,-,0,0,0,0,0,0
2022,Administration Dept,ARP-State Fiscal Recovery,Fiscal Agent,Misc Grants/Studies/Others,0,0,0,0,0,0
2022,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Facilities Management,1492936.1,0,1492936.1,0,1522501.92,29565.82
2022,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Office of State Procurement,76598.02,0,76598.02,0,76598.02,0
2022,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Real Estate & Construction Agent,683630,0,683630,0,683630,0
2022,Administration Dept,ARP-State Fiscal Recovery,Govt and Citizen Services,Risk Management,3589028.19,0,3589028.19,0,3589028.19,0
2022,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Misc Grants/Studies/Others,3521596.14,0,3521596.14,0,3531946.68,10350.54
2022,Administration Dept,Arts & Cultural Heritage Fund,Fiscal Agent,Public Broadcasting,8187316.47,0,8187316.47,0,8188265.25,948.78
2022,Administration Dept,Arts & Cultural Heritage Fund,Govt And Citizen Services,Office Of Grants Management,179209.52,0,179209.52,0,179209.52,0
2022,Administration Dept,Arts & Cultural Heritage Fund,Govt and Citizen Services,Office Of Grants Management,88566.77,0,88566.77,0,95877.21,7310.44
2022,Administration Dept,Central Mail ISF,Govt and Citizen Services,Facilities Management,11021211.21,0,10963061.87,58149.34,11012939.45,49877.58
2022,Administration Dept,Coop Purchasing,Govt and Citizen Services,Office of State Procurement,38476389.85,0,38196366.23,280023.62,38850306.2,653939.97
2022,Administration Dept,Federal,Govt And Citizen Services,Developmental Disabilities Council,254022.65,0,254022.65,0,254022.65,0
2022,Administration Dept,Federal,Govt And Citizen Services,State Assistive Tech (STAR),9623.67,0,6254.28,3369.39,6254.28,0
2022,Administration Dept,Federal,Govt and Citizen Services,Developmental Disabilities Council,1028707.04,0,1004570.28,24136.76,1004570.28,0
2022,Administration Dept,Federal,Govt and Citizen Services,Procurement Tech Asst Center,670262.08,0,634814.67,35447.41,642885.64,8070.97
