Budget Period,Payment Amount,Agency
2022,161194.2,Accountancy Board
2022,183635242.94,Administration Dept
2022,1939365.51,Administrative Hearings
2022,85530858.26,Agriculture Dept
2022,4743000,Agriculture Utilization Resrch
2022,355713.2,Amateur Sports Comm
2022,2213538.28,Animal Health Board
2022,248617.02,"Architecture, Engineering Bd"
2022,45331874.31,Arts Board
2022,93540.7,Asian-Pacific Council
2022,6933222.7,Attorney General
2022,75768.16,Barber Examiners Board
2022,190301.28,Behavioral Health & Therapy Bd
2022,19031152.85,Board Of Public Defense
2022,3741564.49,Board of Teaching
2022,442117.52,Bureau of Mediation Services
2022,148434.97,Campaign Fin & Public Discl Bd
2022,92217.25,Capitol Area Architect
2022,163803.45,Chiropractors Board
2022,480769717.41,Commerce Dept
2022,314529014.46,Corrections Dept
2022,798031.67,Cosmetologist Exam Board
2022,90258.27,Council for MN of African Heri
2022,1350791.78,Court Of Appeals
2022,1248396.5,Dentistry Board
2022,23743009498.92,Department of Human Services
2022,41096.53,Dietetics & Nutrition Practice
2022,230203.99,Disability Council
2022,11977514076.79,Education Department
2022,4608817.35,Emergency Medical Services Bd
2022,1970933142.08,Employ & Econ Development Dept
2022,173790.56,Exec for LT Svcs & Supports Bd
2022,13698595.2,Explore Minnesota Tourism
2022,902543.66,Gambling Control Board
2022,1117273.07,Governors Office
2022,1843947.11,Guardian ad Litem Board
2022,1040034000.86,Health Department
2022,39160004.8,Historical Society
2022,39994918.45,House of Representatives
2022,696318426.36,Housing Finance Agency
2022,1105996.91,Human Rights Dept
2022,4741000,Humanities Center
2022,1624837.76,Indian Affairs Council
2022,3984088.64,Investment Board
2022,66106450.25,Iron Range Resources & Rehab
2022,68096.75,Judicial Standards Board
2022,3262162.41,LCC-Leg Coordinating Comm
2022,57151415.33,Labor & Industry Dept
2022,645343.63,Legislative Auditor
2022,385912.56,Lottery
2022,61616.63,MN Council on Latino Affairs
2022,550130844.18,MN St Colleges & Universities
2022,1186866372.52,MN State Retirement System
2022,251589602.16,MN.IT Services
2022,16888671,MNsure
2022,63309.48,Marriage & Family Therapy
2022,2782793.85,Medical Practice Board
2022,535526103.08,Metropolitan Council
2022,69597942.09,Military Affairs Dept
2022,945000,Minn Conservation Corps
2022,18671067.9,Minnesota Zoological Garden
2022,911941318.66,Mmb Debt Service
2022,112101111.11,Mmb Non-operating
2022,1612251994.77,Mn Management & Budget
2022,2627356.05,Mn State Academies
2022,506075518.51,Natural Resources Dept
2022,1857032.98,Nursing Board
2022,85321.69,Occupational Therapy Pract Bd
2022,339473084.44,Office of Higher Education
2022,26238.98,Ombud American Indian Families
2022,228934.04,Ombud Mental Hlth & Dev Dis
2022,106967.32,Ombudsperson for Corrections
2022,107515.34,Ombudsperson for Families
2022,62742.4,Optometry Board
2022,9815648.81,Peace Officer Board (POST)
2022,1456244.22,Perpich Ctr For Arts Education
2022,1878272.69,Pharmacy Board
2022,191783.12,Physical Therapy Board
2022,38513.45,Podiatric Medicine Board
2022,156729424.86,Pollution Control Agency
2022,15225.37,Private Detective Board
2022,218122.96,Psychology Board
2022,2501244614.22,Public Employees Retire Assoc
2022,285274848.42,Public Facilities Authority
2022,668614287.48,Public Safety Dept
2022,2799362.96,Public Utilities Comm
2022,3108104.6,Racing Commission
2022,42979421.75,Revenue Dept
2022,2428104771.42,Revenue Intergovt Payments
2022,1247765,Science Museum
2022,9410191.5,Secretary of State
2022,16495223.14,Senate
2022,40951.43,Sentencing Guidelines Comm
2022,301044.07,Social Work Board
2022,1027914.24,State Auditor
2022,31612032.64,Supreme Court
2022,568656.26,Tax Court
2022,2156946813.05,Teachers Retirement Assoc
2022,2896257849.96,Transportation Dept
2022,51937847.83,Trial Courts
2022,79756.66,Uniform Laws Commission
2022,747576671.7,University Of Minnesota
2022,87516335.5,Veterans Affairs Dept
2022,80594.29,Veterinary Medicine Board
2022,91519166.59,Water & Soil Resources Board
2022,272089.02,Workers Comp Court of Appeals
