Budget Period,Payment Amount,Agency
2024,194976.99,Accountancy Board
2024,519564752.8,Administration Dept
2024,2259139.77,Administrative Hearings
2024,105082255.48,Agriculture Dept
2024,6143000,Agriculture Utilization Resrch
2024,809998.72,Amateur Sports Comm
2024,2416737.97,Animal Health Board
2024,239970.3,"Architecture, Engineering Bd"
2024,53152550.21,Arts Board
2024,133501.72,Asian-Pacific Council
2024,22577381.5,Attorney General
2024,111401.11,Barber Examiners Board
2024,312429.15,Behavioral Health & Therapy Bd
2024,22903445.05,Board Of Public Defense
2024,8495248.4,Board of Teaching
2024,759965.7,Bureau of Mediation Services
2024,235320.65,Campaign Fin & Public Discl Bd
2024,32226.29,Cannabis Expungement Board
2024,465581.85,Cannabis Management Office
2024,1119304.41,Capitol Area Architect
2024,198754,Chiropractors Board
2024,4735503.21,Climate Innovn Finance Authrty
2024,438965942.39,Commerce Dept
2024,386643807.12,Corrections Dept
2024,894864.86,Cosmetologist Exam Board
2024,122466.73,Council for MN of African Heri
2024,1438484.35,Court Of Appeals
2024,1555395.66,Dentistry Board
2024,26254783104.24,Department of Human Services
2024,37920.56,Dietetics & Nutrition Practice
2024,759113.24,Disability Council
2024,13065791445.02,Education Department
2024,4405139.05,Emergency Medical Services Bd
2024,675564909.88,Employ & Econ Development Dept
2024,112156.75,Exec for LT Svcs & Supports Bd
2024,34430401.75,Explore Minnesota Tourism
2024,88414.67,Foster Youth Ombudsperson
2024,741407.1,Gambling Control Board
2024,1511840.36,Governors Office
2024,2217283.38,Guardian ad Litem Board
2024,648778825.99,Health Department
2024,46332674.42,Historical Society
2024,47059585.36,House of Representatives
2024,542148987.15,Housing Finance Agency
2024,1530339.31,Human Rights Dept
2024,7390666.67,Humanities Center
2024,2191426.45,Indian Affairs Council
2024,5780032.78,Investment Board
2024,102910998.32,Iron Range Resources & Rehab
2024,153885.64,Judicial Standards Board
2024,5021886.78,LCC-Leg Coordinating Comm
2024,50082.46,LGBTQIA2S+ Minnesotans Council
2024,62478294.18,Labor & Industry Dept
2024,750115.12,Legislative Auditor
2024,386450.01,Lottery
2024,86455.93,MN Council on Latino Affairs
2024,571136861.82,MN St Colleges & Universities
2024,1288633372.36,MN State Retirement System
2024,349183033.45,MN.IT Services
2024,20602098.15,MNsure
2024,80073.7,Marriage & Family Therapy
2024,2502108.95,Medical Practice Board
2024,559016885.62,Metropolitan Council
2024,95458766.5,Military Affairs Dept
2024,986918.89,Minn Conservation Corps
2024,20442693.12,Minnesota Zoological Garden
2024,1597910482.6,Mmb Debt Service
2024,244898176.07,Mmb Non-operating
2024,1691836275.27,Mn Management & Budget
2024,3594624.34,Mn State Academies
2024,549872780.28,Natural Resources Dept
2024,1797192.79,Nursing Board
2024,120424.33,Occupational Therapy Pract Bd
2024,397970329.87,Office of Higher Education
2024,59560.56,Ombud American Indian Families
2024,266542.83,Ombud Mental Hlth & Dev Dis
2024,188233.85,Ombudsperson for Corrections
2024,78464.38,Ombudsperson for Families
2024,77677.06,Optometry Board
2024,9904380.79,Peace Officer Board (POST)
2024,2088374.78,Perpich Ctr For Arts Education
2024,3078953.93,Pharmacy Board
2024,185713.98,Physical Therapy Board
2024,43738.74,Podiatric Medicine Board
2024,265971460.87,Pollution Control Agency
2024,13934.08,Private Detective Board
2024,475748.22,Psychology Board
2024,2766552359.33,Public Employees Retire Assoc
2024,448255986.79,Public Facilities Authority
2024,681335700.25,Public Safety Dept
2024,2729536.78,Public Utilities Comm
2024,4408708.77,Racing Commission
2024,85733.3,Rare Disease Advisory Council
2024,70326219.37,Revenue Dept
2024,2709634418.03,Revenue Intergovt Payments
2024,9335327.92,Science Museum
2024,15041140.04,Secretary of State
2024,17896657.41,Senate
2024,175408.9,Sentencing Guidelines Comm
2024,397459.23,Social Work Board
2024,1341340.99,State Auditor
2024,90666.26,State Competency Attainment Bd
2024,48060315.03,Supreme Court
2024,532774.87,Tax Court
2024,2090007020.69,Teachers Retirement Assoc
2024,3205317401.31,Transportation Dept
2024,63175239.54,Trial Courts
2024,99824.31,Uniform Laws Commission
2024,824083803.08,University Of Minnesota
2024,77058418.8,Veterans Affairs Dept
2024,92356.88,Veterinary Medicine Board
2024,118210739.99,Water & Soil Resources Board
2024,298157.19,Workers Comp Court of Appeals
